Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601318N,650,NV,"S,XS",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-117,0.27%,2016,JULY,CONTINUITY,SHA00,None,"204772,204775,204780,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,,,,6753.5,"$6,331.00 ",$422.50 ,$0.00 ,$0.00 ,$9.74 ,,$9.74 ,3531,650,0,None Found,None Found,None Found,None Found
601317XTC,30,CT,"S,XS",YES,YES,YES,YES,#N/A,Olympics,#N/A,,201JUL-108XT,0.01%,2016,JULY,CONTINUITY,SHAXT,XT,"204772,204775,204780,204768,203129,204773,204752,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,XT-204773,XTR-204752,,410.04,$292.20 ,$28.50 ,$65.40 ,$23.94 ,$9.74 ,$2.18 ,$12.72 ,-1380,30,0,None Found,None Found,None Found,None Found
601317XC,280,CT,"S,XS",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-108X,0.12%,2016,JULY,CONTINUITY,SHAX0,X,"204772,204775,204780,204768,203129,204773,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,XT-204773,,,3589.6,"$2,727.20 ",$252.00 ,$610.40 ,$0.00 ,$9.74 ,$2.18 ,$11.92 ,0,280,0,None Found,None Found,None Found,None Found
601317TC,30,CT,"S,XS",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-108T,0.01%,2016,JULY,CONTINUITY,SHA0T,T,"204772,204775,204780,204768,203129,204752,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,,XTR-204752,,337.14,$292.20 ,$21.00 ,$0.00 ,$23.94 ,$9.74 ,,$10.54 ,-1380,30,0,None Found,None Found,None Found,None Found
601317C,970,CT,"S,XS",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-108,0.41%,2016,JULY,CONTINUITY,SHA00,None,"204772,204775,204780,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,,,,10078.3,"$9,447.80 ",$630.50 ,$0.00 ,$0.00 ,$9.74 ,,$9.74 ,0,970,0,None Found,None Found,None Found,None Found
601316N,200,NV,"S,XS",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-99,0.08%,2016,JULY,CONTINUITY,S0A00,None,"204761,204770,204780,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,,,,1806,"$1,676.00 ",$130.00 ,$0.00 ,$0.00 ,$8.38 ,,$8.38 ,3531,200,0,None Found,None Found,None Found,None Found
601315C,180,CT,"S,XS",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-90,0.08%,2016,JULY,CONTINUITY,S0A00,None,"204761,204770,204780,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,#N/A,#N/A,#N/A,,,,1625.4,"$1,508.40 ",$117.00 ,$0.00 ,$0.00 ,$8.38 ,,$8.38 ,0,180,0,None Found,None Found,None Found,None Found
601314N,680,NV,"S,XS",YES,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-81,0.29%,2016,JULY,CONTINUITY,SH000,None,"204772,204775,204753,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,,,,6326.72,"$5,884.72 ",$442.00 ,$0.00 ,$0.00 ,$8.65 ,,$8.65 ,70,680,0,None Found,None Found,None Found,None Found
601313XC,510,CT,"S,XS",YES,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-72X,0.21%,2016,JULY,CONTINUITY,SH0X0,X,"204772,204775,204753-1711,204752,203129,204761,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,XT-204761,,,5050.02,"$3,902.52 ",$459.00 ,$688.50 ,$0.00 ,$7.65 ,$1.35 ,$9.00 ,-1380,510,0,None Found,None Found,None Found,None Found
601312C,700,CT,"S,XS",YES,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-63,0.29%,2016,JULY,CONTINUITY,SH000,None,"204772,204775,204753-1711,204768,203129,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,,,,6512.8,"$6,057.80 ",$455.00 ,$0.00 ,$0.00 ,$8.65 ,,$8.65 ,30,700,0,None Found,None Found,None Found,None Found
601311XN,"4,800",NV,"S,XS",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-54X,2.02%,2016,JULY,CONTINUITY,S00X0,X,"204761,204770,204753,204768,203129,204773,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,XT-204773,,,49795.2,"$35,011.20 ","$4,320.00 ","$10,464.00 ",$0.00 ,$7.29 ,$2.18 ,$9.47 ,43,"4,800",0,None Found,None Found,None Found,None Found
